year,ft_democratic_party,ft_republican_party,education
1978,,,Some College
1978,70,85,College Degree
1978,50,60,Some High School
1978,,,8th Grade or Less
1978,70,70,Some High School
1978,,,Some College
1978,0,0,8th Grade or Less
1978,,,College Degree
1978,,,High School
1978,70,85,High School and Non-Academic Training
1978,70,70,8th Grade or Less
1978,40,70,Some College
1978,70,70,College Degree
1978,70,,High School
1978,70,85,College Degree
1978,97,15,High School and Non-Academic Training
1978,70,60,High School
1978,60,85,8th Grade or Less
1978,70,50,Some High School
1978,80,40,High School and Non-Academic Training
1978,50,70,High School
1978,60,50,High School
1978,60,60,High School and Non-Academic Training
1978,50,50,Some High School
1978,80,40,Some High School
1978,97,0,High School and Non-Academic Training
1978,50,85,Some High School
1978,50,50,Some College
